current_time,request_id,agent_type,speak_duration,asr_duration,tts_req_duration,total_duration,llm_generation_time,speech_generation_time,llm_client_name
1724197465,270705,Agent1,1.763706,0.1664486,1.232702,1.416676,356.089,865.38,llamafile_llama3
1724197543,661386,Agent1,1.043457,0.1543207,1.704846,1.878651,460.953,1235.186,llamafile_llama3
1724197557,717875,Agent1,1.574482,0.1485023,1.583431,1.748533,452.587,1114.024,llamafile_llama3
1724197588,627625,Agent1,1.778,0.1508255,1.678852,1.846062,504.491,1170.221,llamafile_llama3
1724197614,527265,Agent1,2.088905,0.1466522,1.683182,1.845947,476.097,1197.978,llamafile_llama3
1724197751,636530,Agent1,1.020855,0.1671062,1.211893,1.39605,297.509,897.499,llamafile_llama3
1724197766,846148,Agent1,1.650349,0.1282845,1.262091,1.406649,348.04,895.685,llamafile_llama3
1724197778,339863,Agent1,1.758223,0.1283722,1.889816,2.034168,641.112,1245.465,llamafile_llama3
1724197839,911355,Agent2,1.232719,0.1361542,1.665115,1.812943,438.122,1216.397,llamafile_llama3
1724198024,426478,Agent1,1.57463,1.223199,1.078052,2.314452,380.357,690.076,llamafile_llama3
1724198036,707098,Agent1,2.089499,0.1602707,1.587378,1.761171,483.835,1097.21,llamafile_llama3
1724198055,123927,Agent1,2.581467,0.1741257,1.342354,1.529514,397.851,939.959,llamafile_llama3
1724198067,53420,Agent1,1.665462,0.6948776,1.724163,2.431915,623.05,1084.514,llamafile_llama3
1724198084,377576,Agent1,2.151138,0.1288834,2.332199,2.473625,848.116,1474.185,llamafile_llama3
1724198138,292256,Agent2,2.324852,0.1458588,1.919716,2.077805,533.596,1373.079,llamafile_llama3
1724198156,984034,Agent2,1.518768,0.1267853,2.585297,2.723587,682.048,1894.497,llamafile_llama3
1724198180,627632,Agent2,2.12941,0.1445007,3.434998,3.590454,1208.551,2217.639,llamafile_llama3
1724198222,154466,Agent2,1.974472,0.1786957,2.787125,2.977264,902.221,1874.117,llamafile_llama3
1724198293,92944,Agent3,1.178986,0.1440735,2.569366,2.725525,683.264,1875.018,llamafile_llama3
1724198318,842301,Agent3,1.04245,0.1368713,1.211761,1.360718,472.608,728.094,llamafile_llama3
1724198338,495245,Agent3,1.363037,0.1373291,2.011932,2.162384,1024.559,980.764,llamafile_llama3
1724198378,233803,Agent3,1.537079,0.1445007,2.236084,2.394104,1185.708,1035.48,llamafile_llama3
1724198428,66148,Agent3,1.926208,0.1421204,2.47348,2.628967,1393.271,1071.356,llamafile_llama3
1724198478,692026,Agent3,1.506165,0.6910095,1.97583,2.679932,1038.593,924.102,llamafile_llama3
1724198550,788707,Agent1,0.9473925,0.1600866,1.624775,1.799746,455.792,1161.06,llamafile_llama3
1724198673,195351,Agent1,1.006149,0.1723378,1.169636,1.356509,449.03,706.611,llamafile_llama3
1724198700,86579,Agent1,8.338358,0.2533321,7.368988,7.638342,794.428,6551.946,llamafile_llama3
1724198724,394499,Agent1,0.9371529,0.1061325,2.870365,2.991535,1042.683,1814.647,llamafile_llama3
1724198760,275611,Agent1,0.9763184,0.2028961,2.124001,2.342934,784.002,1330.3,llamafile_llama3
1724199035,487196,Agent1,1.055131,0.1614642,0.9933619,1.166195,311.367,670.671,llamafile_llama3
1724199046,841353,Agent1,2.400526,0.1435642,1.181845,1.33647,319.21,851.746,llamafile_llama3
1724199102,559734,Agent1,0.9544885,0.139724,1.34375,1.495354,365.204,968.728,llamafile_llama3
1724199117,769060,Agent1,1.873713,0.1167145,1.217379,1.345501,353.432,853.279,llamafile_llama3
1724199165,245595,Agent1,0.8865776,0.1356463,1.097603,1.246783,361.2,721.771,llamafile_llama3
1724199180,862665,Agent1,2.042547,0.1195927,1.683941,1.813885,527.863,1150.998,llamafile_llama3
1724200402,549129,Agent1,1.035063,0.07588291,1.348417,1.432144,301.64,1041.433,llamafile_llama3
1724215061,298756,Agent1,1.253529,0.08361816,1.042969,1.210651,309.558,726.231,llamafile_llama3
1724215069,693702,Agent1,2.131603,0.08621216,1.570591,1.670666,704.753,856.299,llamafile_llama3
1724215094,297049,Agent1,2.061478,0.09694672,2.396034,2.507042,1326.997,1056.95,llamafile_llama3
1724215131,461738,Agent1,1.415466,0.08287811,1.785149,1.882317,860.426,919.184,llamafile_llama3
1724215351,388668,Agent1,1.044468,0.08578491,1.084179,1.184429,350.806,722.164,llamafile_llama3
1724215360,666874,Agent1,0.8214569,0.06977081,1.1138,1.197983,453.513,651.667,llamafile_llama3
1724215377,218304,Agent1,2.617657,0.08572769,2.071976,2.172058,1073.701,981.777,llamafile_llama3
1724215407,356477,Agent1,1.448166,0.06922913,1.3368,1.420441,535.176,795.638,llamafile_llama3
1724215421,664238,Agent1,1.489891,0.08288574,1.53241,1.629105,656.981,871.88,llamafile_llama3
1724217314,133884,Agent1,1.016045,0.09770966,1.127407,1.239819,262.733,853.086,llamafile_llama3
1724217320,99015,Agent1,1.2108,0.06932831,1.28083,1.364372,532.895,736.107,llamafile_llama3
1724217338,237372,Agent1,2.2276,0.1004562,1.723511,1.837761,878.556,841.198,llamafile_llama3
